Date,Values,China,Canada,Taiwan,Singapore,US,England,Korea,Hong Kong
12/29/16,Price of Carrier,518,,,,,,,
,Shipping Fees Collected,260,,,,,,,
12/30/16,Price of Carrier,232,,,,,,,
,Shipping Fees Collected,132,,,,,,,
1/3/17,Price of Carrier,1143.5,,,,,,,
,Shipping Fees Collected,752,,,,,,,
1/4/17,Price of Carrier,732.5,,,,,,,
,Shipping Fees Collected,448,,,,,,,
1/5/17,Price of Carrier,443,,,,,,,
,Shipping Fees Collected,336,,,,,,,
1/6/17,Price of Carrier,480.5,,,,,,,
,Shipping Fees Collected,236,,,,,,,
1/9/17,Price of Carrier,439.5,193.4999986,,,,,31.4999982,13
,Shipping Fees Collected,316,228,,,,,36,20
1/10/17,Price of Carrier,318,279.5599426,,,,,,13
,Shipping Fees Collected,108,336,,,,,,20
1/11/17,Price of Carrier,325,,,130.4999996,,,,
,Shipping Fees Collected,168,,,30,,,,
1/12/17,Price of Carrier,230,116.9999661,,,,,,
,Shipping Fees Collected,132,150,,,,,,
1/13/17,Price of Carrier,229,,,,,,,
,Shipping Fees Collected,#N/A,,,,,,,
1/16/17,Price of Carrier,189.5,,34,53.9999856,,,,
,Shipping Fees Collected,144,,45,72,,,,
1/17/17,Price of Carrier,470.5,,,,,,,33
,Shipping Fees Collected,196,,,,,,,45
1/18/17,Price of Carrier,311.5,,13,58.79998872,,,,
,Shipping Fees Collected,212,,0,66,,,,
1/19/17,Price of Carrier,266.5,,13,,,,,
,Shipping Fees Collected,92,,20,,,,,
1/20/17,Price of Carrier,182,,,,20.92996477,,,
,Shipping Fees Collected,148,,,,85.87,,,
1/23/17,Price of Carrier,117,52.19999906,111,,,,,
,Shipping Fees Collected,64,66,50,,,,,
1/24/17,Price of Carrier,144.5,76.499995,,,,,,
,Shipping Fees Collected,64,90,,,,,,
1/25/17,Price of Carrier,95.5,,,26.9999972,,,,
,Shipping Fees Collected,76,,,36,,,,
1/26/17,Price of Carrier,84,53.99999462,,,37.2199905,,,
,Shipping Fees Collected,40,66,,,29.82,,,
1/27/17,Price of Carrier,121,,,31.49999996,,,,
,Shipping Fees Collected,48,,,36,,,,
1/30/17,Price of Carrier,135.5,,,,,,,
,Shipping Fees Collected,92,,,,,,,
1/31/17,Price of Carrier,33.5,31.49999776,,,38.50999702,,,
,Shipping Fees Collected,16,42,,,33.23,,,
2/1/17,Price of Carrier,172.5,31.49999776,,,146.8099433,,,
,Shipping Fees Collected,76,42,,,121.25,,,
2/2/17,Price of Carrier,165,,,,,,,
,Shipping Fees Collected,40,,,,,,,
2/3/17,Price of Carrier,166,125.9999829,13,,10.32999968,31.499996,,
,Shipping Fees Collected,100,156,20,,0,42,,
2/6/17,Price of Carrier,343,58.49999925,68,,94.10998597,89.99997336,,134.999975
,Shipping Fees Collected,236,78,90,,97.39,120,,115
2/7/17,Price of Carrier,,,13,,87.83999136,,,
,Shipping Fees Collected,,,20,,70.28,,,